CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,40.000,60.000,70.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),GRIS MÍNIMO,GRIS(%),TRT MÍNIMO,TRT(%),FAIXA INICIAL DE ENTREGA,OUTRA TAXA VALOR FIXO,TDE VALOR FIXO,PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,CTE VALOR FIXO
1000001,5999999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6000001,6299999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6300001,6399999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6400001,6499999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6500001,6549999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6550000,6599999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6600001,6649999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6650000,6699999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6700001,6729999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6730000,6749999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6750001,6799999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6800001,6849999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6850000,6889999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6890000,6899999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6900000,6900999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6930000,6930000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
6950000,6999999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
7000001,7399999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
7400000,7499999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
7500000,7500000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
7600000,7699999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
7700000,7749999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
7750000,7799999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
7800000,7899999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
7900001,7999999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8000000,8499999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8500001,8549999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8550001,8569999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8570001,8599999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8600001,8699999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8700001,8889999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8890000,8890000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8900000,8900970,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
8940000,8969999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8970000,8979999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8980000,8980000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
8980001,8999999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
9000001,9299999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
9300001,9399999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
9400001,9449999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
9450000,9499999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
9500001,9599999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
9600000,9899999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
9900001,9999999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11000001,11199999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11200000,11200000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11210000,11210000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11220000,11220000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11230000,11230000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11250000,11299999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11300001,11399999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11400001,11499999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11500001,11599999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11600000,11609999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","105,12","271,98","4,1",100,"6,42"
11610000,11610000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11610001,11629999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","105,12","271,98","4,1",100,"6,42"
11630000,11630000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","105,12","271,98","4,1",100,"6,42"
11640000,11640000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11650000,11650000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11660001,11679999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","105,12","271,98","4,1",100,"6,42"
11680000,11680000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","105,12","271,98","4,1",100,"6,42"
11690000,11690000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11700001,11729999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11730000,11730000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11740000,11740000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11750000,11750000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11760000,11760000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11770000,11770000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11790000,11790000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11800000,11800000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","68,56","271,98","4,1",100,"6,42"
11850000,11850000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","68,56","271,98","4,1",100,"6,42"
11855000,11855000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11860000,11860000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11870000,11870000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11900000,11909999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11910000,11910000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","68,56","271,98","4,1",100,"6,42"
11920000,11920000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","68,56","271,98","4,1",100,"6,42"
11925000,11925000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
11930000,11930000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","68,56","271,98","4,1",100,"6,42"
11940000,11940000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","68,56","271,98","4,1",100,"6,42"
11950000,11950000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","68,56","271,98","4,1",100,"6,42"
11955000,11955000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11960000,11960000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11970000,11970000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11980000,11980000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
11990000,11990000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","68,56","271,98","4,1",100,"6,42"
11995000,11995000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","75,41","271,98","4,1",100,"6,42"
12000001,12119999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12120000,12120000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12130000,12130000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12140000,12140000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12150000,12150000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12170000,12170000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12180000,12180000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12190000,12190000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12200001,12248999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12249000,12249000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","306,22","271,98","4,1",100,"6,42"
12249001,12249999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12250000,12250000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12260000,12260000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12270000,12270000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12280001,12299999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12300001,12349999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12350000,12350000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12380000,12380999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12400001,12449999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12450000,12450000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12460000,12460000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12490000,12490000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12500001,12524999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12525000,12525000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12530000,12530000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12540000,12540000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12570000,12570000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12580000,12580000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12600001,12614999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12615000,12615000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12620000,12620000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12630000,12630000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12690000,12690000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12700000,12759999,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12760000,12760000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12770000,12770000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01",0,"271,98","4,1",100,"6,42"
12800000,12800000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12820000,12820000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
12830000,12830000,5,,"39,25","49,29","54,28","59,26","61,76","71,76","0,995","0,3","5,72","0,15",0,0,"100,01","115,4","271,98","4,1",100,"6,42"
