CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,30.000,50.000,75.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),GRIS MÍNIMO,GRIS(%),PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,TAS VALOR FIXO,TRT VALOR FIXO,TDE MÍNIMO,TDE MÁXIMO,TDE(%),TDA(%),ENTREGA VALOR FIXO
1000001,5999999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6000001,6299999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6300001,6399999,7,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6400001,6499999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6500001,6549999,9,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6550000,6599999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
6600001,6649999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6650001,6699999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6700001,6729999,7,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6730000,6749999,5,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
6750001,6799999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6800001,6849999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6850001,6889999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
6890000,6899999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
6900001,6949999,6,,"26,28","30,97","33,91","39,06","67,59","97,37","0,57","0,3","2,85","0,15","4,8",100,"3,2",30,351,351,10,10,18
