CEPI,CEPF,UF,REGIÃO,PRAZO(DIAS ÚTEIS),5,10,20,30,40,50,60,70,100,150,200,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),GRIS MÍNIMO,GRIS MÁXIMO,GRIS(%)
66000001,66999999,PA,PAC,11,"50,95","50,95","66,73","76,08","101,19","101,19","126,50","126,50","161,91","228,29","289,93","1,45","0,60%","5,18",,"0,20%"
67000001,67199999,PA,PAI,11,"71,71","71,71","93,94","107,09","142,43","142,43","178,04","178,04","227,89","321,32","408,09","2,05","0,60%","5,18",,"0,20%"
67200000,67999999,PA,PAI,11,"71,71","71,71","93,94","107,09","142,43","142,43","178,04","178,04","227,89","321,32","408,09","2,05","0,60%","5,18",,"0,20%"
68000001,68128999,PA,PAF,13,"79,30","79,30","103,87","118,42","157,48","157,48","196,87","196,87","251,98","355,32","451,24","2,25","7,60%","5,18",,"0,20%"
68129000,68129999,PA,PAF,14,"79,30","79,30","103,87","118,42","157,48","157,48","196,87","196,87","251,98","355,32","451,24","2,25","7,60%","5,18",,"0,20%"
68130000,68137999,PA,PAF,16,"79,30","79,30","103,87","118,42","157,48","157,48","196,87","196,87","251,98","355,32","451,24","2,25","7,60%","5,18",,"0,20%"
68138000,68139999,PA,PAF,18,"79,30","79,30","103,87","118,42","157,48","157,48","196,87","196,87","251,98","355,32","451,24","2,25","7,60%","5,18",,"0,20%"
68140000,68142999,PA,PAF,15,"79,30","79,30","103,87","118,42","157,48","157,48","196,87","196,87","251,98","355,32","451,24","2,25","7,60%","5,18",,"0,20%"
68143000,68144999,PA,PAF,17,"79,30","79,30","103,87","118,42","157,48","157,48","196,87","196,87","251,98","355,32","451,24","2,25","7,60%","5,18",,"0,20%"
68145000,68147999,PA,PAI,16,"71,71","71,71","93,94",v,"142,43","142,43","178,04","178,04","227,89","321,32","408,09","2,05","0,60%","5,18",,"0,20%"
68148000,68149999,PA,PAI,16,"71,71","71,71","93,94","107,09","142,43","142,43","178,04","178,04","227,89","321,32","408,09","2,05","0,60%","5,18",,"0,20%"
68150000,68164999,PA,PAF,16,"79,30","79,30","103,87","118,42","157,48","157,48","196,87","196,87","251,98","355,32","451,24","2,25","7,60%","5,18",,"0,20%"
