CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,30.000,50.000,75.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),TAS VALOR FIXO,SEGURO FLUVIAL MÍNIMO,SEGURO FLUVIAL(%),PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,SEGURO(%),OUTRA TAXA MÍNIMO,OUTRA TAXA(%),GRIS MÍNIMO,GRIS(%),TDE MÍNIMO,TDE MÁXIMO,TDE(%),CTE VALOR FIXO
1000001,5999999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
6000001,6299999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
6300001,6399999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
6400001,6499999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
6500001,6549999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
6550000,6599999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
6600001,6649999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
6650001,6699999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
6700001,6729999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
6730000,6749999,3,,"24,19","28,42","33,52","42,81","59,11","80,55","0,88",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
