CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,5.000,10.000,15.000,20.000,30.000,40.000,50.000,60.000,70.000,80.000,90.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),GRIS MÍNIMO,GRIS(%),FAIXA INICIAL DE GRIS,TAS VALOR FIXO,FAIXA INICIAL DE COLETA,FAIXA FINAL DE COLETA,FAIXA INICIAL DE ENTREGA,SECCAT VALOR FIXO,SEGURO MÍNIMO,SEGURO(%),FAIXA INICIAL DE CTE,FAIXA FINAL DE CTE,PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG
1000001,1034999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1035000,1035000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1035001,1035099,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1035100,1035100,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1035101,1035900,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1035901,1036000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1036001,1036099,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1036100,1036100,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1036101,1036899,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1036900,1036971,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1036972,1036999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1037000,1037010,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1037011,1037899,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1037900,1037900,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1037901,1037902,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1037903,1037904,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1037905,1037905,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1037906,1037912,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1037913,1037999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1038000,1038100,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1038101,1038899,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1038900,1038904,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1038905,1038999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1039000,1039000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1039001,1039899,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1039900,1039907,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1039908,1040010,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1040011,1040900,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1040901,1040905,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1040906,1041001,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1041002,1041899,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1041900,1041905,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1041906,1043010,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1043011,1043899,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1043900,1043909,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1043910,1043999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1044000,1044000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1044001,1044900,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1044901,1044909,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1044910,1044999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1045000,1046900,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1046901,1046901,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1046902,1046923,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1046924,1047020,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1047021,1047903,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1047904,1047911,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1047912,1048100,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1048101,1048899,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1048900,1050907,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1050908,1100999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1101000,1101000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1101001,1101019,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1101020,1101020,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1101021,1101999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1102000,1102000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1102001,1102999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1103000,1103000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1103001,1103019,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1103020,1103020,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1103021,1103999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1104000,1104000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1104001,1104001,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1104002,1104999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1105000,1105000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1105001,1105999,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1106000,1106000,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1106001,1106089,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1106090,1106090,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
1106091,1107009,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,0,0,0,"24,75","11,51","0,5",0,0,"4,96",100
1107010,1107010,3,,"23,41","29,26",0,"36,65","39,87",0,"47,18",0,"53,49",0,0,"120,29","5,72",0,"1,36","0,23",10000,0,"1000,01",1500,"1500,01","24,75","11,51","0,5","0,01",100,"4,96",100
